Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2013-08-09,,Bayern Munich,3–1,M'Gladbach,,,Tobias Welz,Match Report,
1,Sat,2013-08-10,,Hertha BSC,6–1,Eint Frankfurt,,,Michael Weiner,Match Report,
1,Sat,2013-08-10,,Augsburg,0–4,Dortmund,,,Knut Kircher,Match Report,
1,Sat,2013-08-10,,Hannover 96,2–0,Wolfsburg,,,Felix Brych,Match Report,
1,Sat,2013-08-10,,Leverkusen,3–1,Freiburg,,,Günter Perl,Match Report,
1,Sat,2013-08-10,,Braunschweig,0–1,Werder Bremen,,,Deniz Aytekin,Match Report,
1,Sat,2013-08-10,,Hoffenheim,2–2,Nürnberg,,,Thorsten Kinhöfer,Match Report,
1,Sun,2013-08-11,,Schalke 04,3–3,Hamburger SV,,,Manuel Gräfe,Match Report,
1,Sun,2013-08-11,,Mainz 05,3–2,Stuttgart,,,Florian Meyer,Match Report,
2,Sat,2013-08-17,,Eint Frankfurt,0–1,Bayern Munich,,,Peter Gagelmann,Match Report,
2,Sat,2013-08-17,,M'Gladbach,3–0,Hannover 96,,,Jochen Drees,Match Report,
2,Sat,2013-08-17,,Wolfsburg,4–0,Schalke 04,,,Wolfgang Stark,Match Report,
2,Sat,2013-08-17,,Hamburger SV,1–5,Hoffenheim,,,Günter Perl,Match Report,
2,Sat,2013-08-17,,Stuttgart,0–1,Leverkusen,,,Felix Zwayer,Match Report,
2,Sat,2013-08-17,,Freiburg,1–2,Mainz 05,,,Robert Hartmann,Match Report,
2,Sat,2013-08-17,,Werder Bremen,1–0,Augsburg,,,Daniel Siebert,Match Report,
2,Sun,2013-08-18,,Nürnberg,2–2,Hertha BSC,,,Guido Winkmann,Match Report,
2,Sun,2013-08-18,,Dortmund,2–1,Braunschweig,,,Peter Sippel,Match Report,
3,Fri,2013-08-23,,Dortmund,1–0,Werder Bremen,,,Felix Zwayer,Match Report,
3,Sat,2013-08-24,,Bayern Munich,2–0,Nürnberg,,,Christian Dingert,Match Report,
3,Sat,2013-08-24,,Mainz 05,2–0,Wolfsburg,,,Thorsten Kinhöfer,Match Report,
3,Sat,2013-08-24,,Leverkusen,4–2,M'Gladbach,,,Felix Brych,Match Report,
3,Sat,2013-08-24,,Hannover 96,2–1,Schalke 04,,,Bastian Dankert,Match Report,
3,Sat,2013-08-24,,Hoffenheim,3–3,Freiburg,,,Tobias Stieler,Match Report,
3,Sat,2013-08-24,,Hertha BSC,1–0,Hamburger SV,,,Marco Fritz,Match Report,
3,Sun,2013-08-25,,Augsburg,2–1,Stuttgart,,,Tobias Welz,Match Report,
3,Sun,2013-08-25,,Braunschweig,0–2,Eint Frankfurt,,,Wolfgang Stark,Match Report,
4,Tue,2013-08-27,,Freiburg,1–1,Bayern Munich,,,Florian Meyer,Match Report,
4,Sat,2013-08-31,,M'Gladbach,4–1,Werder Bremen,,,Günter Perl,Match Report,
4,Sat,2013-08-31,,Nürnberg,0–1,Augsburg,,,Michael Weiner,Match Report,
4,Sat,2013-08-31,,Wolfsburg,2–0,Hertha BSC,,,Robert Hartmann,Match Report,
4,Sat,2013-08-31,,Hamburger SV,4–0,Braunschweig,,,Knut Kircher,Match Report,
4,Sat,2013-08-31,,Hannover 96,4–1,Mainz 05,,,Guido Winkmann,Match Report,
4,Sat,2013-08-31,,Schalke 04,2–0,Leverkusen,,,Peter Gagelmann,Match Report,
4,Sun,2013-09-01,,Eint Frankfurt,1–2,Dortmund,,,Manuel Gräfe,Match Report,
4,Sun,2013-09-01,,Stuttgart,6–2,Hoffenheim,,,Jochen Drees,Match Report,
5,Fri,2013-09-13,,Hertha BSC,0–1,Stuttgart,,,Deniz Aytekin,Match Report,
5,Sat,2013-09-14,,Dortmund,6–2,Hamburger SV,,,Tobias Welz,Match Report,
5,Sat,2013-09-14,,Bayern Munich,2–0,Hannover 96,,,Tobias Stieler,Match Report,
5,Sat,2013-09-14,,Werder Bremen,0–3,Eint Frankfurt,,,Felix Brych,Match Report,
5,Sat,2013-09-14,,Mainz 05,0–1,Schalke 04,,,Peter Sippel,Match Report,
5,Sat,2013-09-14,,Leverkusen,3–1,Wolfsburg,,,Markus Schmidt,Match Report,
5,Sat,2013-09-14,,Augsburg,2–1,Freiburg,,,Bastian Dankert,Match Report,
5,Sun,2013-09-15,,Braunschweig,1–1,Nürnberg,,,Marco Fritz,Match Report,
5,Sun,2013-09-15,,Hoffenheim,2–1,M'Gladbach,,,Christian Dingert,Match Report,
6,Fri,2013-09-20,,M'Gladbach,4–1,Braunschweig,,,Peter Gagelmann,Match Report,
6,Sat,2013-09-21,,Nürnberg,1–1,Dortmund,,,Knut Kircher,Match Report,
6,Sat,2013-09-21,,Hannover 96,2–1,Augsburg,,,Christian Dingert,Match Report,
6,Sat,2013-09-21,,Schalke 04,0–4,Bayern Munich,,,Manuel Gräfe,Match Report,
6,Sat,2013-09-21,,Wolfsburg,2–1,Hoffenheim,,,Marco Fritz,Match Report,
6,Sat,2013-09-21,,Mainz 05,1–4,Leverkusen,,,Deniz Aytekin,Match Report,
6,Sat,2013-09-21,,Hamburger SV,0–2,Werder Bremen,,,Wolfgang Stark,Match Report,
6,Sun,2013-09-22,,Freiburg,1–1,Hertha BSC,,,Jochen Drees,Match Report,
6,Sun,2013-09-22,,Stuttgart,1–1,Eint Frankfurt,,,Felix Zwayer,Match Report,
7,Fri,2013-09-27,,Augsburg,2–2,M'Gladbach,,,Michael Weiner,Match Report,
7,Sat,2013-09-28,,Eint Frankfurt,2–2,Hamburger SV,,,Thorsten Kinhöfer,Match Report,
7,Sat,2013-09-28,,Dortmund,5–0,Freiburg,,,Markus Schmidt,Match Report,
7,Sat,2013-09-28,,Bayern Munich,1–0,Wolfsburg,,,Bastian Dankert,Match Report,
7,Sat,2013-09-28,,Hoffenheim,3–3,Schalke 04,,,Daniel Siebert,Match Report,
7,Sat,2013-09-28,,Leverkusen,2–0,Hannover 96,,,Wolfgang Stark,Match Report,
7,Sat,2013-09-28,,Hertha BSC,3–1,Mainz 05,,,Florian Meyer,Match Report,
7,Sun,2013-09-29,,Werder Bremen,3–3,Nürnberg,,,Tobias Stieler,Match Report,
7,Sun,2013-09-29,,Braunschweig,0–4,Stuttgart,,,Felix Brych,Match Report,
8,Fri,2013-10-04,,Hannover 96,1–1,Hertha BSC,,,Günter Perl,Match Report,
8,Sat,2013-10-05,,Schalke 04,4–1,Augsburg,,,Marco Fritz,Match Report,
8,Sat,2013-10-05,,Wolfsburg,0–2,Braunschweig,,,Guido Winkmann,Match Report,
8,Sat,2013-10-05,,Mainz 05,2–2,Hoffenheim,,,Wolfgang Stark,Match Report,
8,Sat,2013-10-05,,Leverkusen,1–1,Bayern Munich,,,Knut Kircher,Match Report,
8,Sat,2013-10-05,,Stuttgart,1–1,Werder Bremen,,,Peter Sippel,Match Report,
8,Sat,2013-10-05,,M'Gladbach,2–0,Dortmund,,,Manuel Gräfe,Match Report,
8,Sun,2013-10-06,,Nürnberg,0–5,Hamburger SV,,,Markus Schmidt,Match Report,
8,Sun,2013-10-06,,Freiburg,1–1,Eint Frankfurt,,,Deniz Aytekin,Match Report,
9,Fri,2013-10-18,,Hoffenheim,1–2,Leverkusen,,,Felix Brych,Match Report,
9,Sat,2013-10-19,,Bayern Munich,4–1,Mainz 05,,,Thorsten Kinhöfer,Match Report,
9,Sat,2013-10-19,,Werder Bremen,0–0,Freiburg,,,Florian Meyer,Match Report,
9,Sat,2013-10-19,,Braunschweig,2–3,Schalke 04,,,Robert Hartmann,Match Report,
9,Sat,2013-10-19,,Hertha BSC,1–0,M'Gladbach,,,Jochen Drees,Match Report,
9,Sat,2013-10-19,,Dortmund,1–0,Hannover 96,,,Peter Gagelmann,Match Report,
9,Sat,2013-10-19,,Eint Frankfurt,1–1,Nürnberg,,,Christian Dingert,Match Report,
9,Sun,2013-10-20,,Hamburger SV,3–3,Stuttgart,,,Tobias Welz,Match Report,
9,Sun,2013-10-20,,Augsburg,1–2,Wolfsburg,,,Felix Zwayer,Match Report,
10,Fri,2013-10-25,,Stuttgart,1–1,Nürnberg,,,Guido Winkmann,Match Report,
10,Sat,2013-10-26,,Leverkusen,2–1,Augsburg,,,Manuel Gräfe,Match Report,
10,Sat,2013-10-26,,Mainz 05,2–0,Braunschweig,,,Daniel Siebert,Match Report,
10,Sat,2013-10-26,,Wolfsburg,3–0,Werder Bremen,,,Deniz Aytekin,Match Report,
10,Sat,2013-10-26,,Bayern Munich,3–2,Hertha BSC,,,Michael Weiner,Match Report,
10,Sat,2013-10-26,,Hannover 96,1–4,Hoffenheim,,,Tobias Stieler,Match Report,
10,Sat,2013-10-26,,Schalke 04,1–3,Dortmund,,,Knut Kircher,Match Report,
10,Sun,2013-10-27,,Freiburg,0–3,Hamburger SV,,,Peter Gagelmann,Match Report,
10,Sun,2013-10-27,,M'Gladbach,4–1,Eint Frankfurt,,,Felix Zwayer,Match Report,
11,Fri,2013-11-01,,Dortmund,6–1,Stuttgart,,,Florian Meyer,Match Report,
11,Sat,2013-11-02,,Nürnberg,0–3,Freiburg,,,Manuel Gräfe,Match Report,
11,Sat,2013-11-02,,Hoffenheim,1–2,Bayern Munich,,,Tobias Welz,Match Report,
11,Sat,2013-11-02,,Eint Frankfurt,1–2,Wolfsburg,,,Marco Fritz,Match Report,
11,Sat,2013-11-02,,Hamburger SV,0–2,M'Gladbach,,,Markus Schmidt,Match Report,
11,Sat,2013-11-02,,Braunschweig,1–0,Leverkusen,,,Peter Sippel,Match Report,
11,Sat,2013-11-02,,Hertha BSC,0–2,Schalke 04,,,Günter Perl,Match Report,
11,Sun,2013-11-03,,Augsburg,2–1,Mainz 05,,,Bastian Dankert,Match Report,
11,Sun,2013-11-03,,Werder Bremen,3–2,Hannover 96,,,Thorsten Kinhöfer,Match Report,
12,Fri,2013-11-08,,Hannover 96,0–0,Braunschweig,,,Knut Kircher,Match Report,
12,Sat,2013-11-09,,Bayern Munich,3–0,Augsburg,,,Peter Gagelmann,Match Report,
12,Sat,2013-11-09,,Hoffenheim,2–3,Hertha BSC,,,Deniz Aytekin,Match Report,
12,Sat,2013-11-09,,Schalke 04,3–1,Werder Bremen,,,Felix Brych,Match Report,
12,Sat,2013-11-09,,Leverkusen,5–3,Hamburger SV,,,Robert Hartmann,Match Report,
12,Sat,2013-11-09,,M'Gladbach,3–1,Nürnberg,,,Christian Dingert,Match Report,
12,Sat,2013-11-09,,Wolfsburg,2–1,Dortmund,,,Jochen Drees,Match Report,
12,Sun,2013-11-10,,Mainz 05,1–0,Eint Frankfurt,,,Michael Weiner,Match Report,
12,Sun,2013-11-10,,Freiburg,1–3,Stuttgart,,,Felix Zwayer,Match Report,
13,Fri,2013-11-22,,Stuttgart,0–2,M'Gladbach,,,Thorsten Kinhöfer,Match Report,
13,Sat,2013-11-23,,Dortmund,0–3,Bayern Munich,,,Manuel Gräfe,Match Report,
13,Sat,2013-11-23,,Augsburg,2–0,Hoffenheim,,,Florian Meyer,Match Report,
13,Sat,2013-11-23,,Braunschweig,0–1,Freiburg,,,Wolfgang Stark,Match Report,
13,Sat,2013-11-23,,Hertha BSC,0–1,Leverkusen,,,Guido Winkmann,Match Report,
13,Sat,2013-11-23,,Nürnberg,1–1,Wolfsburg,,,Tobias Welz,Match Report,
13,Sat,2013-11-23,,Eint Frankfurt,3–3,Schalke 04,,,Markus Schmidt,Match Report,
13,Sun,2013-11-24,,Werder Bremen,2–3,Mainz 05,,,Peter Sippel,Match Report,
13,Sun,2013-11-24,,Hamburger SV,3–1,Hannover 96,,,Marco Fritz,Match Report,
14,Fri,2013-11-29,,Wolfsburg,1–1,Hamburger SV,,,Felix Brych,Match Report,
14,Sat,2013-11-30,,Hoffenheim,4–4,Werder Bremen,,,Wolfgang Stark,Match Report,
14,Sat,2013-11-30,,Mainz 05,1–3,Dortmund,,,Deniz Aytekin,Match Report,
14,Sat,2013-11-30,,Hertha BSC,0–0,Augsburg,,,Tobias Welz,Match Report,
14,Sat,2013-11-30,,Bayern Munich,2–0,Braunschweig,,,Tobias Stieler,Match Report,
14,Sat,2013-11-30,,Leverkusen,3–0,Nürnberg,,,Jochen Drees,Match Report,
14,Sat,2013-11-30,,Schalke 04,3–0,Stuttgart,,,Michael Weiner,Match Report,
14,Sun,2013-12-01,,Hannover 96,2–0,Eint Frankfurt,,,Günter Perl,Match Report,
14,Sun,2013-12-01,,M'Gladbach,1–0,Freiburg,,,Robert Hartmann,Match Report,
15,Fri,2013-12-06,,Nürnberg,1–1,Mainz 05,,,Manuel Gräfe,Match Report,
15,Sat,2013-12-07,,Dortmund,0–1,Leverkusen,,,Florian Meyer,Match Report,
15,Sat,2013-12-07,,Eint Frankfurt,1–2,Hoffenheim,,,Peter Sippel,Match Report,
15,Sat,2013-12-07,,Stuttgart,4–2,Hannover 96,,,Felix Brych,Match Report,
15,Sat,2013-12-07,,M'Gladbach,2–1,Schalke 04,,,Felix Zwayer,Match Report,
15,Sat,2013-12-07,,Hamburger SV,0–1,Augsburg,,,Daniel Siebert,Match Report,
15,Sat,2013-12-07,,Werder Bremen,0–7,Bayern Munich,,,Marco Fritz,Match Report,
15,Sun,2013-12-08,,Braunschweig,0–2,Hertha BSC,,,Thorsten Kinhöfer,Match Report,
15,Sun,2013-12-08,,Freiburg,0–3,Wolfsburg,,,Knut Kircher,Match Report,
16,Fri,2013-12-13,,Hertha BSC,3–2,Werder Bremen,,,Christian Dingert,Match Report,
16,Sat,2013-12-14,,Hannover 96,3–3,Nürnberg,,,Thorsten Kinhöfer,Match Report,
16,Sat,2013-12-14,,Bayern Munich,3–1,Hamburger SV,,,Tobias Welz,Match Report,
16,Sat,2013-12-14,,Mainz 05,0–0,M'Gladbach,,,Markus Schmidt,Match Report,
16,Sat,2013-12-14,,Wolfsburg,3–1,Stuttgart,,,Deniz Aytekin,Match Report,
16,Sat,2013-12-14,,Hoffenheim,2–2,Dortmund,,,Felix Zwayer,Match Report,
16,Sat,2013-12-14,,Augsburg,4–1,Braunschweig,,,Knut Kircher,Match Report,
16,Sun,2013-12-15,,Schalke 04,2–0,Freiburg,,,Tobias Stieler,Match Report,
16,Sun,2013-12-15,,Leverkusen,0–1,Eint Frankfurt,,,Wolfgang Stark,Match Report,
17,Fri,2013-12-20,,Eint Frankfurt,1–1,Augsburg,,,Michael Weiner,Match Report,
17,Sat,2013-12-21,,Freiburg,2–1,Hannover 96,,,Jochen Drees,Match Report,
17,Sat,2013-12-21,,Nürnberg,0–0,Schalke 04,,,Florian Meyer,Match Report,
17,Sat,2013-12-21,,Hamburger SV,2–3,Mainz 05,,,Bastian Dankert,Match Report,
17,Sat,2013-12-21,,Dortmund,1–2,Hertha BSC,,,Peter Gagelmann,Match Report,
17,Sat,2013-12-21,,Braunschweig,1–0,Hoffenheim,,,Guido Winkmann,Match Report,
17,Sat,2013-12-21,,Werder Bremen,1–0,Leverkusen,,,Robert Hartmann,Match Report,
17,Sun,2013-12-22,,M'Gladbach,2–2,Wolfsburg,,,Günter Perl,Match Report,
18,Fri,2014-01-24,,M'Gladbach,0–2,Bayern Munich,,,Peter Gagelmann,Match Report,
